,label
20230920115032_trial_55_start-502_end-507.mp4,neither
20230920115032_trial_56_start-34_end-202.mp4,"['f2_only', 34, 202]"
20230920115032_trial_294_start-49_end-51.mp4,"['f1_only', 49, 51]"
20230920115032_trial_275_start-0_end-212.mp4,"['f2_only', 0, 212]"
20230920115032_trial_237_start-595_end-698.mp4,"['f2_only', 595, 698]"
20230920115032_trial_263_start-0_end-67.mp4,"['neither', 0, 67]"
20230920115032_trial_74_start-642_end-746.mp4,"['neither', 642, 746]"
20230920115032_trial_247_start-264_end-305.mp4,"['f2_only', 264, 305]"
20230920115032_trial_288_start-204_end-440.mp4,"['f2_only', 204, 440]"
20230920115032_trial_295_start-477_end-602.mp4,"['neither', 477, 602]"
20230920115032_trial_246_start-233_end-629.mp4,"['f2_only', 233, 629]"
20230920115032_trial_246_start-670_end-749.mp4,"['f2_only', 670, 749]"
20230920115032_trial_276_start-0_end-749.mp4,"['interaction', 0, 749]"
20230920115032_trial_15_start-298_end-342.mp4,"['f2_only', 298, 342]"
20230920115032_trial_294_start-53_end-55.mp4,"['neither', 53, 55]"
20230920115032_trial_289_start-447_end-555.mp4,"['neither', 447, 555]"
20230920115032_trial_55_start-94_end-103.mp4,"['neither', 94, 103]"
20230920115032_trial_259_start-473_end-578.mp4,"['neither', 473, 578]"
20230920115032_trial_235_start-495_end-615.mp4,"['neither', 495, 615]"
20230920115032_trial_280_start-291_end-449.mp4,"['f2_only', 291, 449]"
20230920115032_trial_56_start-311_end-335.mp4,"['f2_only', 311, 335]"
20230920115032_trial_12_start-100_end-286.mp4,"['f2_only', 100, 286]"
20230920115032_trial_288_start-133_end-135.mp4,"['neither', 133, 135]"
20230920115032_trial_241_start-80_end-379.mp4,"['f2_only', 80, 379]"
20230920115032_trial_247_start-359_end-365.mp4,"['neither', 359, 365]"
20230920115032_trial_56_start-500_end-605.mp4,"['f2_only', 500, 605]"
20230920115032_trial_277_start-173_end-749.mp4,"['interaction', 173, 749]"
20230920115032_trial_7_start-355_end-469.mp4,"['neither', 355, 469]"
20230920115032_trial_55_start-90_end-93.mp4,"['neither', 90, 93]"
20230920115032_trial_288_start-441_end-447.mp4,"['neither', 441, 447]"
20230920115032_trial_252_start-219_end-515.mp4,"['f2_only', 219, 515]"
20230920115032_trial_55_start-384_end-500.mp4,"['neither', 384, 500]"
20230920115032_trial_286_start-682_end-723.mp4,"['neither', 682, 723]"
20230920115032_trial_56_start-204_end-207.mp4,"['neither', 204, 207]"
